"Qty";"Value";"Device";"Package";"Parts";"Description";"CURRENCY";"DISTRIBUTOR";"ORDER_CODE";"PLACE_PART";"UNIT_PRICE";"UNIT_PRICE_10X";"UNIT_PRICE_25X";"UNIT_PRICE_50X";"UNIT_PRICE_100X";
"7";"";"DIODESOD";"SOD-323";"D1, D2, D3, D4, D5, D6, D7";"Diode";"";"Digikey";"568-4128-1-ND";"YES";"0.36";"0.277";"0.234";"0.234";"0.1907";
"1";"0.25R";"R-EU_R0805";"R0805";"R9";"RESISTOR, European symbol";"";"";"";"YES";"";"";"";"";"";
"2";"100k";"R-EU_R0603";"R0603";"R1, R6";"RESISTOR, European symbol";"";"";"";"YES";"";"";"";"";"";
"19";"100nF";"C-EUC0603";"C0603";"C3, C8, C11, C12, C13, C15, C16, C19, C20, C22, C23, C24, C50, C51, C62, C63, C70, C71, C72";"CAPACITOR, European symbol";"";"";"";"YES";"";"";"";"";"";
"1";"100uF";"CPOL-EUD/7343-31R";"D/7343-31R";"C1";"POLARIZED CAPACITOR, European symbol";"";"Digikey";"718-1744-1-ND";"YES";"1.23";"1.004";"1.004";"1.004";"0.8079";
"2";"10k";"R-EU_R0603";"R0603";"R3, R8";"RESISTOR, European symbol";"";"";"";"YES";"";"";"";"";"";
"10";"10uF";"C-EUC0805";"C0805";"C2, C4, C5, C6, C7, C9, C10, C14, C21, C90";"CAPACITOR, European symbol";"";"";"";"YES";"";"";"";"";"";
"2";"10uH";"INDUCTOR1210";"C1210";"L1, L2";"";"";"Digikey";"445-4847-1-ND";"YES";"0.36";"0.323";"0.323";"0.2624";"0.2423";
"2";"18k";"R-EU_R0603";"R0603";"R14, R20";"RESISTOR, European symbol";"";"";"";"YES";"";"";"";"";"";
"6";"1k";"R-EU_R0603";"R0603";"R11, R13, R18, R19, R22, R23";"RESISTOR, European symbol";"";"";"";"YES";"";"";"";"";"";
"2";"2.2k";"R-EU_R0603";"R0603";"R15, R21";"RESISTOR, European symbol";"";"";"";"YES";"";"";"";"";"";
"1";"220nF";"C-EUC0805";"C0805";"C60";"CAPACITOR, European symbol";"";"";"";"YES";"";"";"";"";"";
"2";"22k";"R-EU_R0603";"R0603";"R10, R12";"RESISTOR, European symbol";"";"";"";"YES";"";"";"";"";"";
"6";"22pF";"C-EUC0402";"C0402";"C17, C18, C25, C26, C27, C28";"CAPACITOR, European symbol";"";"";"";"YES";"";"";"";"";"";
"1";"25k";"R-EU_R0603";"R0603";"R24";"RESISTOR, European symbol";"";"";"";"YES";"";"";"";"";"";
"1";"31.6k";"R-EU_R0603";"R0603";"R2";"RESISTOR, European symbol";"";"";"";"YES";"";"";"";"";"";
"1";"4.7uF";"C-EUC0805";"C0805";"C61";"CAPACITOR, European symbol";"";"";"";"YES";"";"";"";"";"";
"1";"56k";"R-EU_R0603";"R0603";"R7";"RESISTOR, European symbol";"";"";"";"YES";"";"";"";"";"";
"4";"6k8";"R-EU_R0603";"R0603";"R4, R5, R16, R17";"RESISTOR, European symbol";"";"";"";"YES";"";"";"";"";"";
"1";"APM2.5_GPS_HEADERVERTICAL";"APM2.5_GPS_HEADERVERTICAL";"MOLEX_CONNECTOR_5_PINS_VERTICAL";"GPS";"";"";"Digikey";"WM7609CT-ND";"YES";"1.28";"1.132";"1.0656";"1.0214";"0.9771";
"1";"AT32UC3C1512/1256/1128";"AT32UC3C1512/1256/1128";"TQFP100";"U10";"AT32UC3C1512/1256/1128";"";"Digikey";"AT32UC3C1512C-AUT-ND";"YES";"12.95";"11.78";"10.8964";"10.8964";"10.0128";
"1";"AVR32_JTAG+SERIALMOLEX_PICOBLADE";"AVR32_JTAG+SERIALMOLEX_PICOBLADE";"MOLEX_CONNECTOR_10PINS";"P2";"Unified compact debug port with JTAG, 7-12V power supply (VBAT) and serial port.";"";"Digikey";"WM7628CT-ND";"YES";"1.74";"1.584";"1.4868";"1.4224";"1.3578";
"1";"BMP180";"BMP180";"BMP180";"U50";"";"";"Rutronik";"ICIN2533";"YES";"3.28";"";"";"";"";
"1";"CRYSTAL:ABM_16MHz";"CRYSTAL";"SMD_CRYSTAL_ABM";"X1";"";"";"Digikey";"535-9840-1-ND";"YES";"0.78";"0.684";"0.684";"0.6388";"0.5653";
"1";"HMC5883L";"HMC5883L";"LPCC16_0.5MM";"U60";"";"";"Digikey";"342-1082-1-ND";"YES";"2.67";"1.824";"1.6408";"1.536";"1.4507";
"4";"I2C_BUS_PICOVERTICAL";"I2C_BUS_PICOVERTICAL";"MOLEX_CONNECTOR_5_PINS_VERTICAL";"I2C1, I2C2, I2C3, I2C4";"";"";"Digikey";"WM7609CT-ND";"YES";"1.28";"1.132";"1.0656";"1.0214";"0.9771";
"2";"LM2734";"LM2734";"SOT23-6";"U1, U4";"";"";"Digikey";"LM2734ZMK/NOPBCT-ND";"YES";"2.83";"2.532";"2.2764";"2.2764";"2.0705";
"1";"LSM330DLC";"LSM330DLC";"LSM330DLC";"U70";"";"";"Mouser";"511-LSM330DLC";"YES";"5.25";"4.73";"4.30";"4.30";"3.88";
"1";"MAX3051";"MAX3051";"SOT23-8L";"SOT1";"";"";"Mouser";"700-MAX3051EKAT";"YES";"2.64";"2.64";"1.98";"1.88";"1.73";
"1";"MC78L05";"LDO_3PINSOT89_MC78LXX";"SOT89";"U2";"";"";"Digikey";"MC78L05ACHXCT-ND";"YES";"0.41";"0.325";"0.2744";"0.2744";"0.2236";
"1";"MOLEX_CONNECTOR_10PINSMOLEX_PICOBLADE";"MOLEX_CONNECTOR_10PINSMOLEX_PICOBLADE";"MOLEX_CONNECTOR_10PINS";"ANA";"Molex Connector : PicoBlade 1.25 mm pitch, 10 pins, Vertical SMD";"";"Digikey";"WM7628CT-ND";"YES";"1.74";"1.584";"1.4868";"1.4224";"1.3578";
"1";"MOLEX_CONNECTOR_7PINS";"MOLEX_CONNECTOR_7PINS";"MOLEX_CONNECTOR_7PINS";"SPI";"Molex Picoblade connector, 7 pins SMD";"";"Digikey";"WM7625CT-ND";"YES";"1.28";"1.121";"1.0552";"1.0112";"0.9673";
"1";"MOSFET-PCHANNELSMD";"MOSFET-PCHANNELSMD";"SOT23-3";"Q5";"";"";"Digikey";"SSM3J328RLF(TCT-ND";"YES";"0.38";"0.267";"0.2196";"0.2196";"0.1756";
"4";"N-CHANNEL_SOT23";"N-CHANNEL_SOT23";"SOT23";"Q1, Q2, Q3, Q4";"N-CHANNEL MOS FET";"";"Digikey";"IRLML6244TRPBFCT-ND";"YES";"0.41";"0.232";"0.2";"0.1684";"0.1505";
"1";"PIEZO_SPEAKERSMALLER";"PIEZO_SPEAKERSMALLER";"PIEZO_CMT_1203-SMT-REDUCED_FOOTPRINT";"SP";"";"";"Digikey";"102-2197-1-ND";"YES";"1.99";"1.644";"1.644";"1.644";"1.2329";
"1";"POWER";"POWER";"POWER";"P1";"";"";"Mouser";"653-XG8S-0231";"YES";"0.096";"0.096";"0.088";"0.08";"0.072";
"4";"POWERSMALL_SMD";"POWERSMALL_SMD";"POWER_SMALL_SMD";"P10, P11, P12, P13";"";"";"";"";"NO";"";"";"";"";"";
"2";"SENSOR";"SENSOR";"SERVO_COMPACT";"P8, P9";"";"";"";"";"NO";"";"";"";"";"";
"1";"SERVOCONNECTOR_X8STANDARD";"SERVOCONNECTOR_X8STANDARD";"HEADER3X8";"SERVO";"";"";"";"";"NO";"";"";"";"";"";
"3";"SOLDER_JUMPER_2WAY";"SOLDER_JUMPER_2WAY";"SOLDER_JUMPER_2WAY";"J1, J2, J3";"";"";"";"";"NO";"";"";"";"";"";
"2";"SPEKTRUM_RECEIVER";"SPEKTRUM_RECEIVER";"JST_1.5MM_3WAY";"P5, P6";"";"";"Digikey";"455-1658-ND";"YES";"0.14";"0.129";"0.129";"0.0962";"0.0895";
"2";"SWITCH-MOMENTARY-2SMD-1101NE";"SWITCH-MOMENTARY-2SMD-1101NE";"TACTILE-SWITCH-1101NE";"S1, S2";"";"";"Digikey";"450-1140-ND";"YES";"0.19";"0.183";"0.1764";"0.17";"0.1606";
"1";"USB-MICROB";"USB-MICROB";"USB-MICROB";"USB";"USB Connectors";"";"Digikey";"609-4613-1-ND";"YES";"0.37";"0.35";"0.2996";"0.2548";"0.2449";
"1";"USD-SOCKETNEW";"USD-SOCKETNEW";"MICRO-SD-SOCKET-PP";"SD";"microSD Socket";"";"Mouser";"517-2908-05WB-MG";"YES";"1.94";"1.94";"1.74";"1.6";"1.42";
"1";"V_REG_MIC5235-3.3";"V_REG_MIC5235";"SOT23-5";"U3";"";"";"Digikey";"576-2784-1-ND";"YES";"0.9";"0.804";"0.7096";"0.7096";"0.6387";
"1";"XBEE-1B1";"XBEE-1B1";"XBEE-1";"XBEE";"";"";"Mouser";"2x 855-M22-7131042";"YES";"2.46";"2.02";"2.02";"1.914";"1.914";
"1";"green";"LEDCHIPLED_0805_GREEN";"CHIPLED_0805";"LD1";"LED";"";"Digikey";"754-1057-1-ND";"YES";"0.25";"0.189";"0.1512";"0.1512";"0.1365";
"1";"red";"LEDCHIPLED_0805_RED";"CHIPLED_0805";"LD2";"LED";"";"Digikey";"754-1132-1-ND";"YES";"0.15";"0.113";"0.09";"0.09";"0.0814";
