Partlist exported from /home/felix/Scinamics/Designs/Avionics/MegaFly/MegaFly_rev4.1.sch at 2/6/14 3:21 PM,,,,,,,,,,
Qty,Parts,Device,Value,Description,Place(y/n),Distributor,Ordercode,Unit Price,Pricebreak,Total Price
40,ANA,MOLEX_CONNECTOR_10PINSHIROSE_DF13,MOLEX_CONNECTOR_10PINSHIROSE_DF13,"Molex Connector : PicoBlade 1.25 mm pitch, 10 pins, Vertical SMD",YES,Digikey,H3375-ND,0.638,10,25.52
40,C1,CPOL-EUD/7343-31R,100uF,"POLARIZED CAPACITOR, European symbol",YES,Digikey,718-1744-1-ND,1.002,10,40.08
240,"C17, C18, C25, C26, C27, C28",C-EUC0402,22pF,"CAPACITOR, European symbol",YES,,,,1,0
400,"C2, C4, C5, C6, C7, C9, C10, C14, C21, C90",C-EUC0805,10uF,"CAPACITOR, European symbol",YES,,,,1,0
760,"C3, C8, C11, C12, C13, C15, C16, C19, C20, C22, C23, C24, C50, C51, C62, C63, C70, C71, C72",C-EUC0603,100nF,"CAPACITOR, European symbol",YES,,,,1,0
40,C60,C-EUC0805,220nF,"CAPACITOR, European symbol",YES,,,,1,0
40,C61,C-EUC0805,4.7uF,"CAPACITOR, European symbol",YES,,,,1,0
280,"D1, D2, D3, D4, D5, D6, D7",DIODESOD,,Diode,YES,Digikey,568-4128-1-ND,0.1904,100,53.312
50,GPS,APM2.5_GPS_HEADERHIROSE_DF13_VERTICAL,APM2.5_GPS_HEADERHIROSE_DF13_VERTICAL,,YES,Digikey,H3396-ND,0.3676,50,18.38
160,"I2C1, I2C2, I2C3, I2C4",I2C_BUS_PICOHIROSE_DF13_VERTICAL,I2C_BUS_PICOHIROSE_DF13_VERTICAL,,YES,Digikey,H2222-ND,0.3524,100,56.384
0,"J1, J2, J3",SOLDER_JUMPER_2WAY,SOLDER_JUMPER_2WAY,,NO,,,,1,0
80,"L1, L2",INDUCTOR1210,10uH,,YES,Digikey,445-4847-1-ND,0.262,50,20.96
40,LD1,LEDCHIPLED_0805_GREEN,green,LED,YES,Digikey,754-1057-1-ND,0.1508,25,6.032
40,LD2,LEDCHIPLED_0805_RED,red,LED,YES,Digikey,754-1132-1-ND,0.09,25,3.6
0,P1,POWER,POWER,,NO,,,,1,0
0,"P10, P11, P12, P13",POWERSMALL_SMD,POWERSMALL_SMD,,NO,,,,1,0
40,P2,AVR32_JTAG+SERIALHIROSE_DF13,AVR32_JTAG+SERIALHIROSE_DF13,"Unified compact debug port with JTAG, 7-12V power supply (VBAT) and serial port.",YES,Digikey,H3375-ND,0.638,10,25.52
0,"P5, P6",SPEKTRUM_RECEIVER,SPEKTRUM_RECEIVER,,NO,,,,1,0
0,"P8, P9",SENSOR,SENSOR,,NO,,,,1,0
160,"Q1, Q2, Q3, Q4",N-CHANNEL_SOT23,N-CHANNEL_SOT23,N-CHANNEL MOS FET,YES,Digikey,IRLML6244TRPBFCT-ND,0.1517,100,24.272
40,Q5,MOSFET-PCHANNELSMD,MOSFET-PCHANNELSMD,,YES,Digikey,SSM3J328RLF(TCT-ND,0.24,25,9.6
80,"R1, R6",R-EU_R0603,100k,"RESISTOR, European symbol",NO,,,,1,0
80,"R10, R12",R-EU_R0603,22k,"RESISTOR, European symbol",YES,,,,1,0
240,"R11, R13, R18, R19, R22, R23",R-EU_R0603,1k,"RESISTOR, European symbol",YES,,,,1,0
80,"R14, R20",R-EU_R0603,18k,"RESISTOR, European symbol",YES,,,,1,0
80,"R15, R21",R-EU_R0603,2.2k,"RESISTOR, European symbol",YES,,,,1,0
40,R2,R-EU_R0603,31.6k,"RESISTOR, European symbol",YES,,,,1,0
40,R24,R-EU_R0603,25k,"RESISTOR, European symbol",YES,,,,1,0
80,"R3, R8",R-EU_R0603,10k,"RESISTOR, European symbol",YES,,,,1,0
160,"R4, R5, R16, R17",R-EU_R0603,6k8,"RESISTOR, European symbol",YES,,,,1,0
40,R7,R-EU_R0603,68k,"RESISTOR, European symbol",YES,,,,1,0
40,R9,R-EU_R0805,0.25R,"RESISTOR, European symbol",YES,,,,1,0
40,S1,SWITCH-MOMENTARY-2SMD-1101NE,SWITCH-MOMENTARY-2SMD-1101NE,,YES,Digikey,450-1140-ND,0.1364,25,5.456
40,SD,USD-SOCKETNEW,USD-SOCKETNEW,microSD Socket,YES,Mouser,517-2908-05WB-MG,1.74,25,69.6
0,SERVO,SERVOCONNECTOR_X8STANDARD,SERVOCONNECTOR_X8STANDARD,,NO,,,,1,0
40,SOT1,MAX3051,MAX3051,,YES,Mouser,700-MAX3051EKAT,2.02,25,80.8
40,SP,PIEZO_SPEAKERSMALLER,PIEZO_SPEAKERSMALLER,,YES,Digikey,102-2197-1-ND,1.641,10,65.64
40,SPI,MOLEX_CONNECTOR_7PINSHIROSE_DF13,MOLEX_CONNECTOR_7PINSHIROSE_DF13,"Molex Picoblade connector, 7 pins SMD",YES,Digikey,H2224-ND,0.556,10,22.24
100,"U1, U4",LM2734,LM2734,,YES,Digikey,LM2734ZMK/NOPBCT-ND,1.3226,100,132.26
40,U10,AT32UC3C1512/1256/1128,AT32UC3C1512/1256/1128,AT32UC3C1512/1256/1128,YES,Digikey,AT32UC3C1512C-AUT-ND,9.0568,25,362.272
40,U2,LDO_3PINSOT89_MC78LXX,MC78L05,,YES,Digikey,MC78L05ACHXCT-ND,0.274,25,10.96
40,U3,V_REG_MIC5235,V_REG_MIC5235-3.3,,YES,Digikey,576-2784-1-ND,0.7084,25,28.336
40,U50,BMP180,BMP180,,YES,Rutronik,BMP180,3.45,1,138
40,U60,HMC5883L,HMC5883L,,YES,Digikey,342-1082-1-ND,1.638,25,65.52
40,U70,LSM330DLC,LSM330DLC,,YES,Mouser,511-LSM330DLC,4.3,25,172
40,USB,USB-MICROB,USB-MICROB,USB Connectors,YES,Digikey,609-4613-1-ND,0.2992,25,11.968
40,X1,CRYSTAL,CRYSTAL:ABM_16MHz,,YES,Digikey,535-9840-1-ND,0.683,10,27.32
0,XBEE,XBEE-1B1,XBEE-1B1,,NO,,,,1,0
,,,,,,,Avg. per board:,36.9008,Overall total:,1476.032
